Iteration, Max iteration, Mean abs differential rot err, Min differential rotation err, Mean abs differential trans err, Min differential translation err
233, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
234, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
235, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
236, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
237, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
238, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
239, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
240, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
241, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
242, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
243, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
244, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
245, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
246, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
247, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
248, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
249, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
250, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
251, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
252, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
253, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
254, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
255, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
256, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
257, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
258, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
259, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
260, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
261, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
262, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
263, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
264, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
265, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
266, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
267, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
268, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
269, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
270, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
271, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
272, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
273, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
274, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
275, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
276, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
277, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
278, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
279, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
280, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
281, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
282, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
283, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
284, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
285, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
286, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
287, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
288, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
289, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
290, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
291, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
292, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
293, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
294, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
295, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
296, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
297, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
298, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
299, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
300, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
301, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
302, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
303, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
304, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
305, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
306, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
307, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
308, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
309, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
310, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
311, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
312, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
313, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
314, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
315, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
316, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
317, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
318, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
319, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
320, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
321, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
322, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
323, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
324, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
325, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
326, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
327, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
328, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
329, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
330, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
331, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
332, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
333, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
334, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
335, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
336, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
337, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
338, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
339, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
340, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
341, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
342, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
343, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
344, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
345, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
346, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
347, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
348, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
349, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
350, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
351, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
352, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
353, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
354, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
355, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
356, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
357, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
358, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
359, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
360, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
361, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
362, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
363, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
364, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
365, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
366, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
367, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
368, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
369, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
370, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
371, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
372, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
373, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
374, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
375, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
376, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
377, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
378, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
379, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
380, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
381, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
382, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
383, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
